row  column  layer  Head         
1  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  20  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
1  21  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  1  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  2  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  3  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  4  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  5  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  6  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  7  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  8  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  9  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  10  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  11  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  12  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  13  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  14  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  15  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  16  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  17  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  18  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
2  19  1    2.00000000e+001 0.00000000e+000 0.00000000e+000 0.00000000e+000
