x,y,z,layer,reach,head,concentration
0.500000,20.500000,10.000000,1,0,37.836630,0.000000
1.500000,20.500000,10.000000,1,0,37.675081,0.000000
2.500000,20.500000,10.000000,1,0,37.351982,0.000000
3.500000,20.500000,10.000000,1,0,37.028883,0.000000
4.500000,20.500000,10.000000,1,0,36.705785,0.000000
5.500000,20.500000,10.000000,1,0,36.382686,0.000000
6.500000,20.500000,10.000000,1,0,36.059587,0.000000
7.500000,20.500000,10.000000,1,0,35.736488,0.000000
8.500000,20.500000,10.000000,1,0,35.413389,0.000000
9.500000,20.500000,10.000000,1,0,35.090291,0.000000
10.500000,20.500000,10.000000,1,0,34.767192,0.000000
11.500000,20.500000,10.000000,1,0,34.444093,0.000000
12.500000,20.500000,10.000000,1,0,34.120994,0.000000
13.500000,20.500000,10.000000,1,0,33.797896,0.000000
14.500000,20.500000,10.000000,1,0,33.474797,0.000000
15.500000,20.500000,10.000000,1,0,33.151698,0.000000
16.500000,20.500000,10.000000,1,0,32.828599,0.000000
17.500000,20.500000,10.000000,1,0,32.505500,0.000000
18.500000,20.500000,10.000000,1,0,32.182402,0.000000
19.500000,20.500000,10.000000,1,0,31.859303,0.000000
20.500000,20.500000,10.000000,1,0,31.512565,0.000000
20.500000,19.500000,10.000000,1,0,31.172526,0.000000
20.500000,18.500000,10.000000,1,0,30.849424,0.000000
20.500000,17.500000,10.000000,1,0,30.526323,0.000000
20.500000,16.500000,10.000000,1,0,30.203222,0.000000
20.500000,15.500000,10.000000,1,0,29.880120,0.000000
20.500000,14.500000,10.000000,1,0,29.557019,0.000000
20.500000,13.500000,10.000000,1,0,29.233917,0.000000
20.500000,12.500000,10.000000,1,0,28.910816,0.000000
20.500000,11.500000,10.000000,1,0,28.587715,0.000000
20.500000,10.500000,10.000000,1,0,28.264613,0.000000
20.500000,9.500000,10.000000,1,0,27.941512,0.000000
20.500000,8.500000,10.000000,1,0,27.618411,0.000000
20.500000,7.500000,10.000000,1,0,27.295309,0.000000
20.500000,6.500000,10.000000,1,0,26.972208,0.000000
20.500000,5.500000,10.000000,1,0,26.649106,0.000000
20.500000,4.500000,10.000000,1,0,26.326005,0.000000
20.500000,3.500000,10.000000,1,0,26.002904,0.000000
20.500000,2.500000,10.000000,1,0,25.679802,0.000000
20.500000,1.500000,10.000000,1,0,25.356701,0.000000
20.500000,0.500000,10.000000,1,0,25.097575,0.000000
0.500000,19.500000,10.000000,1,0,37.733399,0.000000
0.500000,18.500000,10.000000,1,0,37.406196,0.000000
0.500000,17.500000,10.000000,1,0,37.078993,0.000000
0.500000,16.500000,10.000000,1,0,36.751790,0.000000
0.500000,15.500000,10.000000,1,0,36.424587,0.000000
0.500000,14.500000,10.000000,1,0,36.097384,0.000000
0.500000,13.500000,10.000000,1,0,35.770181,0.000000
0.500000,12.500000,10.000000,1,0,35.442978,0.000000
0.500000,11.500000,10.000000,1,0,35.115775,0.000000
0.500000,10.500000,10.000000,1,0,34.788572,0.000000
0.500000,9.500000,10.000000,1,0,34.461369,0.000000
0.500000,8.500000,10.000000,1,0,34.134166,0.000000
0.500000,7.500000,10.000000,1,0,33.806963,0.000000
0.500000,6.500000,10.000000,1,0,33.479760,0.000000
0.500000,5.500000,10.000000,1,0,33.152557,0.000000
0.500000,4.500000,10.000000,1,0,32.825354,0.000000
0.500000,3.500000,10.000000,1,0,32.498151,0.000000
0.500000,2.500000,10.000000,1,0,32.170948,0.000000
0.500000,1.500000,10.000000,1,0,31.843745,0.000000
0.500000,0.500000,10.000000,1,0,31.552381,0.000000
1.500000,0.500000,10.000000,1,0,31.236242,0.000000
2.500000,0.500000,10.000000,1,0,30.909013,0.000000
3.500000,0.500000,10.000000,1,0,30.581784,0.000000
4.500000,0.500000,10.000000,1,0,30.254556,0.000000
5.500000,0.500000,10.000000,1,0,29.927327,0.000000
6.500000,0.500000,10.000000,1,0,29.600098,0.000000
7.500000,0.500000,10.000000,1,0,29.272870,0.000000
8.500000,0.500000,10.000000,1,0,28.945641,0.000000
9.500000,0.500000,10.000000,1,0,28.618412,0.000000
10.500000,0.500000,10.000000,1,0,28.291183,0.000000
11.500000,0.500000,10.000000,1,0,27.963955,0.000000
12.500000,0.500000,10.000000,1,0,27.636726,0.000000
13.500000,0.500000,10.000000,1,0,27.309497,0.000000
14.500000,0.500000,10.000000,1,0,26.982269,0.000000
15.500000,0.500000,10.000000,1,0,26.655040,0.000000
16.500000,0.500000,10.000000,1,0,26.327811,0.000000
17.500000,0.500000,10.000000,1,0,26.000582,0.000000
18.500000,0.500000,10.000000,1,0,25.673354,0.000000
19.500000,0.500000,10.000000,1,0,25.346125,0.000000
