r,c,l,reach,head,concentration
1,1,1,0,37.836630,0.000000
1,2,1,0,37.675081,0.000000
1,3,1,0,37.351982,0.000000
1,4,1,0,37.028883,0.000000
1,5,1,0,36.705785,0.000000
1,6,1,0,36.382686,0.000000
1,7,1,0,36.059587,0.000000
1,8,1,0,35.736488,0.000000
1,9,1,0,35.413389,0.000000
1,10,1,0,35.090291,0.000000
1,11,1,0,34.767192,0.000000
1,12,1,0,34.444093,0.000000
1,13,1,0,34.120994,0.000000
1,14,1,0,33.797896,0.000000
1,15,1,0,33.474797,0.000000
1,16,1,0,33.151698,0.000000
1,17,1,0,32.828599,0.000000
1,18,1,0,32.505500,0.000000
1,19,1,0,32.182402,0.000000
1,20,1,0,31.859303,0.000000
1,21,1,0,31.512565,0.000000
2,21,1,0,31.172526,0.000000
3,21,1,0,30.849424,0.000000
4,21,1,0,30.526323,0.000000
5,21,1,0,30.203222,0.000000
6,21,1,0,29.880120,0.000000
7,21,1,0,29.557019,0.000000
8,21,1,0,29.233917,0.000000
9,21,1,0,28.910816,0.000000
10,21,1,0,28.587715,0.000000
11,21,1,0,28.264613,0.000000
12,21,1,0,27.941512,0.000000
13,21,1,0,27.618411,0.000000
14,21,1,0,27.295309,0.000000
15,21,1,0,26.972208,0.000000
16,21,1,0,26.649106,0.000000
17,21,1,0,26.326005,0.000000
18,21,1,0,26.002904,0.000000
19,21,1,0,25.679802,0.000000
20,21,1,0,25.356701,0.000000
21,21,1,0,25.097575,0.000000
2,1,1,0,37.733399,0.000000
3,1,1,0,37.406196,0.000000
4,1,1,0,37.078993,0.000000
5,1,1,0,36.751790,0.000000
6,1,1,0,36.424587,0.000000
7,1,1,0,36.097384,0.000000
8,1,1,0,35.770181,0.000000
9,1,1,0,35.442978,0.000000
10,1,1,0,35.115775,0.000000
11,1,1,0,34.788572,0.000000
12,1,1,0,34.461369,0.000000
13,1,1,0,34.134166,0.000000
14,1,1,0,33.806963,0.000000
15,1,1,0,33.479760,0.000000
16,1,1,0,33.152557,0.000000
17,1,1,0,32.825354,0.000000
18,1,1,0,32.498151,0.000000
19,1,1,0,32.170948,0.000000
20,1,1,0,31.843745,0.000000
21,1,1,0,31.552381,0.000000
21,2,1,0,31.236242,0.000000
21,3,1,0,30.909013,0.000000
21,4,1,0,30.581784,0.000000
21,5,1,0,30.254556,0.000000
21,6,1,0,29.927327,0.000000
21,7,1,0,29.600098,0.000000
21,8,1,0,29.272870,0.000000
21,9,1,0,28.945641,0.000000
21,10,1,0,28.618412,0.000000
21,11,1,0,28.291183,0.000000
21,12,1,0,27.963955,0.000000
21,13,1,0,27.636726,0.000000
21,14,1,0,27.309497,0.000000
21,15,1,0,26.982269,0.000000
21,16,1,0,26.655040,0.000000
21,17,1,0,26.327811,0.000000
21,18,1,0,26.000582,0.000000
21,19,1,0,25.673354,0.000000
21,20,1,0,25.346125,0.000000
