# CS200
#        time      discharge[m3/s]
           10         25.00000044
          300         24.99999998
          600         24.99999996
          900         24.99999996
         1200         24.99999996
         1500         24.99999997
         1800         24.99999999
         2100                  25
         2400         24.99999999
         2700         24.99999998
         3000         24.99999997
         3300         24.99999995
         3600         24.99999993
         3900         24.99999991
         4200         24.99999989
         4500         24.99999978
         4800          24.9999988
         5100         24.99999265
         5400         24.99996565
         5700         24.99987557
         6000         24.99963167
         6300         24.99907612
         6600         24.99798833
         6900         24.99617761
         7200         24.99372743
         7500         24.99153661
         7800         24.99208958
         8100         24.99977763
         8400         25.02178223
         8700         25.06940483
         9000         25.15988512
         9300         25.32188494
         9600         25.59199905
         9900         26.02135929
        10200         26.67670034
        10500         27.65137029
        10800           29.097486
        11100         31.14414574
        11400         33.97304397
        11700         37.71305471
        12000         42.43769897
        12300         48.12031044
        12600         54.65506003
        12900         61.84843211
        13200         69.48623759
        13500         77.32176863
        13800         85.16387562
        14100         92.83379505
        14400          100.169946
        14700         107.0828049
        15000          113.476795
        15300         119.2998147
        15600         124.5217476
        15900         129.1232391
        16200         133.1071506
        16500          136.488843
        16800         139.2762453
        17100         141.5150994
        17400         143.2230209
        17700         144.4310398
        18000         145.1818006
        18300         145.5156142
        18600         145.4709048
        18900         145.0890533
        19200         144.3937058
        19500         143.4129585
        19800         142.1763697
        20100         140.7158888
        20400          139.057204
        20700         137.2738647
        21000         135.3484807
        21300         133.3003099
        21600         131.1811351
        21900         128.9990011
        22200         126.7408764
        22500         124.4677805
        22800         122.1614108
        23100          119.810526
        23400         117.4877008
        23700         115.1338202
        24000          112.778947
        24300         110.4367365
        24600         108.0706673
        24900         105.7529953
        25200         103.4174789
        25500         101.1035289
        25800         98.80552594
        26100         96.50769352
        26400         94.25624085
        26700         91.99728718
        27000         89.79461803
        27300         87.60226388
        27600         85.44457332
        27900         83.32929479
        28200         81.23133853
        28500         79.20621372
        28800         77.19704359
        29100          75.2560026
        29400         73.35401229
        29700         71.49527965
        30000         69.70534011
        30300         67.94497702
        30600         66.26020519
        30900         64.61937906
        31200         63.01625148
        31500         61.49460994
        31800         60.00415818
        32100          58.5631637
        32400         57.18572139
        32700          55.8394117
        33000         54.54102607
        33300         53.29974128
        33600         52.08640479
        33900         50.90803831
        34200         49.79225673
        34500         48.69907789
        34800         47.63125784
        35100         46.61816272
        35400         45.63446841
        35700          44.6732659
        36000         43.73779251
        36300         42.85762057
        36600         41.99597628
        36900         41.15620391
        37200         40.34086528
        37500         39.57721836
        37800         38.83256333
        38100         38.10861706
        38400            37.40831
        38700         36.74388326
        39000         36.11272721
        39300         35.49942986
        39600         34.90580752
        39900          34.3334612
        40200         33.78648771
        40500         33.27555604
        40800          32.7771399
        41100         32.29260369
        41400         31.82265834
        41700         31.36801024
        42000         30.92909264
        42300         30.51803319
        42600         30.11725944
        42900         29.72440651
        43200         29.34057819
        43500         28.96706209
        43800          28.6052514
        44100         28.25653458
        44400         27.92511454
        44700         27.61687049
        45000         27.31853912
        45300         27.03262798
        45600         26.76147277
        45900         26.50732169
        46200         26.27209786
        46500         26.05756852
        46800         25.86509535
        47100         25.69556872
        47400         25.54950771
        47700         25.42650896
        48000          25.3263707
        48300          25.2467158
        48600         25.18566078
        48900         25.14045036
        49200         25.10786376
        49500         25.08585721
        49800         25.07194253
        50100         25.06375653
        50400         25.05907153
        50700         25.05583173
        51000         25.05228179
        51300         25.04693254
        51600         25.03853088
        51900          25.0260174
        52200         25.00862801
        52500         24.98590529
        52800         24.95779501
        53100         24.92437989
        53400         24.88602344
        53700         24.84332549
        54000         24.79701705
