Start State:
cross section    distance           zbed     leftdam    rightdam  bottomlevel              z          eline              A              Q              C        delta x         
        CS000              0         120         130         130          124      121.67517      121.73885      22.365505             25              0             50
        CS001            100       119.9       129.9       129.9        123.9      121.57516      121.63884      22.365452             25              0            100
        CS002            200       119.8       129.8       129.8        123.8      121.47514      121.53883      22.365415             25              0            100
        CS003            300       119.7       129.7       129.7        123.7      121.37513      121.43882        22.3654             25              0            100
        CS004            400       119.6       129.6       129.6        123.6      121.27513      121.33881      22.365435             25              0            100
        CS005            500       119.5       129.5       129.5        123.5      121.17512       121.2388      22.365495             25              0            100
        CS006            600       119.4       129.4       129.4        123.4      121.07512      121.13881      22.365698             25              0            100
        CS007            700       119.3       129.3       129.3        123.3      120.97512       121.0388      22.365805             25              0            100
        CS008            800       119.2       129.2       129.2        123.2      120.87515      120.93883      22.366359             25              0            100
        CS009            900       119.1       129.1       129.1        123.1      120.77514      120.83882      22.366333             25              0            100
        CS010           1000         119         129         129          123      120.67519      120.73887      22.365908             25              0            100
        CS011           1100       118.9       128.9       128.9        122.9      120.57516      120.63884      22.365452             25              0            100
        CS012           1200       118.8       128.8       128.8        122.8      120.47514      120.53883      22.365415             25              0            100
        CS013           1300       118.7       128.7       128.7        122.7      120.37513      120.43882        22.3654             25              0            100
        CS014           1400       118.6       128.6       128.6        122.6      120.27513      120.33881      22.365435             25              0            100
        CS015           1500       118.5       128.5       128.5        122.5      120.17512       120.2388      22.365495             25              0            100
        CS016           1600       118.4       128.4       128.4        122.4      120.07512      120.13881      22.365698             25              0            100
        CS017           1700       118.3       128.3       128.3        122.3      119.97512       120.0388      22.365805             25              0            100
        CS018           1800       118.2       128.2       128.2        122.2      119.87515      119.93883      22.366359             25              0            100
        CS019           1900       118.1       128.1       128.1        122.1      119.77514      119.83882      22.366333             25              0            100
        CS020           2000         118         128         128          122      119.67519      119.73887      22.365908             25              0            100
        CS021           2100       117.9       127.9       127.9        121.9      119.57516      119.63884      22.365452             25              0            100
        CS022           2200       117.8       127.8       127.8        121.8      119.47514      119.53883      22.365415             25              0            100
        CS023           2300       117.7       127.7       127.7        121.7      119.37513      119.43882        22.3654             25              0            100
        CS024           2400       117.6       127.6       127.6        121.6      119.27513      119.33881      22.365435             25              0            100
        CS025           2500       117.5       127.5       127.5        121.5      119.17512       119.2388      22.365495             25              0            100
        CS026           2600       117.4       127.4       127.4        121.4      119.07512      119.13881      22.365698             25              0            100
        CS027           2700       117.3       127.3       127.3        121.3      118.97512       119.0388      22.365805             25              0            100
        CS028           2800       117.2       127.2       127.2        121.2      118.87515      118.93883      22.366359             25              0            100
        CS029           2900       117.1       127.1       127.1        121.1      118.77514      118.83882      22.366333             25              0            100
        CS030           3000         117         127         127          121      118.67519      118.73887      22.365908             25              0            100
        CS031           3100       116.9       126.9       126.9        120.9      118.57516      118.63884      22.365452             25              0            100
        CS032           3200       116.8       126.8       126.8        120.8      118.47514      118.53883      22.365415             25              0            100
        CS033           3300       116.7       126.7       126.7        120.7      118.37513      118.43882        22.3654             25              0            100
        CS034           3400       116.6       126.6       126.6        120.6      118.27513      118.33881      22.365435             25              0            100
        CS035           3500       116.5       126.5       126.5        120.5      118.17512       118.2388      22.365495             25              0            100
        CS036           3600       116.4       126.4       126.4        120.4      118.07512      118.13881      22.365698             25              0            100
        CS037           3700       116.3       126.3       126.3        120.3      117.97512       118.0388      22.365805             25              0            100
        CS038           3800       116.2       126.2       126.2        120.2      117.87515      117.93883      22.366359             25              0            100
        CS039           3900       116.1       126.1       126.1        120.1      117.77514      117.83882      22.366333             25              0            100
        CS040           4000         116         126         126          120      117.67519      117.73887      22.365908             25              0            100
        CS041           4100       115.9       125.9       125.9        119.9      117.57516      117.63884      22.365452             25              0            100
        CS042           4200       115.8       125.8       125.8        119.8      117.47514      117.53883      22.365415             25              0            100
        CS043           4300       115.7       125.7       125.7        119.7      117.37513      117.43882        22.3654             25              0            100
        CS044           4400       115.6       125.6       125.6        119.6      117.27513      117.33881      22.365435             25              0            100
        CS045           4500       115.5       125.5       125.5        119.5      117.17512       117.2388      22.365495             25              0            100
        CS046           4600       115.4       125.4       125.4        119.4      117.07512      117.13881      22.365698             25              0            100
        CS047           4700       115.3       125.3       125.3        119.3      116.97512       117.0388      22.365805             25              0            100
        CS048           4800       115.2       125.2       125.2        119.2      116.87515      116.93883      22.366359             25              0            100
        CS049           4900       115.1       125.1       125.1        119.1      116.77514      116.83882      22.366333             25              0            100
        CS050           5000         115         125         125          119      116.67519      116.73887      22.365908             25              0            100
        CS051           5100       114.9       124.9       124.9        118.9      116.57516      116.63884      22.365452             25              0            100
        CS052           5200       114.8       124.8       124.8        118.8      116.47514      116.53883      22.365415             25              0            100
        CS053           5300       114.7       124.7       124.7        118.7      116.37513      116.43882        22.3654             25              0            100
        CS054           5400       114.6       124.6       124.6        118.6      116.27513      116.33881      22.365435             25              0            100
        CS055           5500       114.5       124.5       124.5        118.5      116.17512       116.2388      22.365495             25              0            100
        CS056           5600       114.4       124.4       124.4        118.4      116.07512      116.13881      22.365698             25              0            100
        CS057           5700       114.3       124.3       124.3        118.3      115.97512       116.0388      22.365805             25              0            100
        CS058           5800       114.2       124.2       124.2        118.2      115.87515      115.93883      22.366359             25              0            100
        CS059           5900       114.1       124.1       124.1        118.1      115.77514      115.83882      22.366333             25              0            100
        CS060           6000         114         124         124          118      115.67519      115.73887      22.365908             25              0            100
        CS061           6100       113.9       123.9       123.9        117.9      115.57516      115.63884      22.365452             25              0            100
        CS062           6200       113.8       123.8       123.8        117.8      115.47514      115.53883      22.365415             25              0            100
        CS063           6300       113.7       123.7       123.7        117.7      115.37513      115.43882        22.3654             25              0            100
        CS064           6400       113.6       123.6       123.6        117.6      115.27513      115.33881      22.365435             25              0            100
        CS065           6500       113.5       123.5       123.5        117.5      115.17512       115.2388      22.365495             25              0            100
        CS066           6600       113.4       123.4       123.4        117.4      115.07512      115.13881      22.365698             25              0            100
        CS067           6700       113.3       123.3       123.3        117.3      114.97512       115.0388      22.365805             25              0            100
        CS068           6800       113.2       123.2       123.2        117.2      114.87515      114.93883      22.366359             25              0            100
        CS069           6900       113.1       123.1       123.1        117.1      114.77514      114.83882      22.366333             25              0            100
        CS070           7000         113         123         123          117      114.67519      114.73887      22.365908             25              0            100
        CS071           7100       112.9       122.9       122.9        116.9      114.57516      114.63884      22.365452             25              0            100
        CS072           7200       112.8       122.8       122.8        116.8      114.47514      114.53883      22.365415             25              0            100
        CS073           7300       112.7       122.7       122.7        116.7      114.37513      114.43882        22.3654             25              0            100
        CS074           7400       112.6       122.6       122.6        116.6      114.27513      114.33881      22.365435             25              0            100
        CS075           7500       112.5       122.5       122.5        116.5      114.17512       114.2388      22.365495             25              0            100
        CS076           7600       112.4       122.4       122.4        116.4      114.07512      114.13881      22.365698             25              0            100
        CS077           7700       112.3       122.3       122.3        116.3      113.97512       114.0388      22.365805             25              0            100
        CS078           7800       112.2       122.2       122.2        116.2      113.87515      113.93883      22.366359             25              0            100
        CS079           7900       112.1       122.1       122.1        116.1      113.77514      113.83882      22.366333             25              0            100
        CS080           8000         112         122         122          116      113.67519      113.73887      22.365908             25              0            100
        CS081           8100       111.9       121.9       121.9        115.9      113.57516      113.63884      22.365452             25              0            100
        CS082           8200       111.8       121.8       121.8        115.8      113.47514      113.53883      22.365415             25              0            100
        CS083           8300       111.7       121.7       121.7        115.7      113.37513      113.43882        22.3654             25              0            100
        CS084           8400       111.6       121.6       121.6        115.6      113.27513      113.33881      22.365435             25              0            100
        CS085           8500       111.5       121.5       121.5        115.5      113.17512       113.2388      22.365495             25              0            100
        CS086           8600       111.4       121.4       121.4        115.4      113.07512      113.13881      22.365698             25              0            100
        CS087           8700       111.3       121.3       121.3        115.3      112.97512       113.0388      22.365805             25              0            100
        CS088           8800       111.2       121.2       121.2        115.2      112.87515      112.93883      22.366359             25              0            100
        CS089           8900       111.1       121.1       121.1        115.1      112.77514      112.83882      22.366333             25              0            100
        CS090           9000         111         121         121          115      112.67519      112.73887      22.365908             25              0            100
        CS091           9100       110.9       120.9       120.9        114.9      112.57516      112.63884      22.365452             25              0            100
        CS092           9200       110.8       120.8       120.8        114.8      112.47514      112.53883      22.365415             25              0            100
        CS093           9300       110.7       120.7       120.7        114.7      112.37513      112.43882        22.3654             25              0            100
        CS094           9400       110.6       120.6       120.6        114.6      112.27513      112.33881      22.365435             25              0            100
        CS095           9500       110.5       120.5       120.5        114.5      112.17512       112.2388      22.365495             25              0            100
        CS096           9600       110.4       120.4       120.4        114.4      112.07512      112.13881      22.365698             25              0            100
        CS097           9700       110.3       120.3       120.3        114.3      111.97512       112.0388      22.365805             25              0            100
        CS098           9800       110.2       120.2       120.2        114.2      111.87515      111.93883      22.366359             25              0            100
        CS099           9900       110.1       120.1       120.1        114.1      111.77514      111.83882      22.366333             25              0            100
        CS100          10000         110         120         120          114      111.67519      111.73887      22.365908             25              0            100
        CS101          10100       109.9       119.9       119.9        113.9      111.57516      111.63884      22.365452             25              0            100
        CS102          10200       109.8       119.8       119.8        113.8      111.47514      111.53883      22.365415             25              0            100
